"Transaction Date/Time","Transaction Type","Operator","Location / Route","Description","Amount"
"01/25/2015  12:22:35 PM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/23/2015  11:51:09 PM","Use","CTA Rail","Brown-Sedgwick","CTA/Pace 30-Day Pass","$0.00"
"01/23/2015  5:31:55 PM","Use","CTA Rail","Loop-Quincy/Wells","CTA/Pace 30-Day Pass","$0.00"
"01/23/2015  8:43:15 AM","Transfer","CTA Bus","151 Sheridan","CTA/Pace 30-Day Pass","$0.00"
"01/23/2015  8:08:47 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/22/2015  5:44:15 PM","Transfer","CTA Bus","82 Kimball-Homan","CTA/Pace 30-Day Pass","$0.00"
"01/22/2015  4:51:58 PM","Use","CTA Rail","Loop-Quincy/Wells","CTA/Pace 30-Day Pass","$0.00"
"01/22/2015  8:03:42 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/21/2015  8:15:09 PM","Use","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"01/21/2015  5:31:33 PM","Use","CTA Rail","Red-SS Jackson-VanBuren","CTA/Pace 30-Day Pass","$0.00"
"01/21/2015  8:12:15 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/20/2015  5:57:35 PM","Use","CTA Rail","Red-SS Monroe-Adams","CTA/Pace 30-Day Pass","$0.00"
"01/20/2015  8:05:35 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/19/2015  7:31:09 PM","Use","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"01/19/2015  5:26:50 PM","Use","CTA Rail","Red-SS Jackson-VanBuren","CTA/Pace 30-Day Pass","$0.00"
"01/19/2015  7:53:15 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/18/2015  1:53:09 PM","Use","CTA Bus","81 Lawrence","CTA/Pace 30-Day Pass","$0.00"
"01/18/2015  7:56:03 AM","Use","CTA Bus","92 Foster","CTA/Pace 30-Day Pass","$0.00"
"01/16/2015  7:13:27 PM","Transfer","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"01/16/2015  5:27:41 PM","Use","CTA Rail","Red-SS Jackson-VanBuren","CTA/Pace 30-Day Pass","$0.00"
"01/16/2015  8:24:33 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/15/2015  5:52:24 PM","Use","CTA Rail","Red-SS Jackson-VanBuren","CTA/Pace 30-Day Pass","$0.00"
"01/15/2015  7:57:09 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/14/2015  7:28:48 PM","Transfer","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"01/14/2015  5:31:39 PM","Use","CTA Rail","Red-SS Jackson-VanBuren","CTA/Pace 30-Day Pass","$0.00"
"01/14/2015  8:12:36 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/13/2015  8:35:37 PM","Use","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"01/13/2015  6:33:04 PM","Transfer","CTA Bus","156 LaSalle","CTA/Pace 30-Day Pass","$0.00"
"01/13/2015  5:39:49 PM","Use","CTA Bus","125 Water Tower Exp","CTA/Pace 30-Day Pass","$0.00"
"01/13/2015  8:09:39 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/12/2015  5:27:11 PM","Use","CTA Rail","Red-SS Jackson-VanBuren","CTA/Pace 30-Day Pass","$0.00"
"01/12/2015  8:11:01 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/11/2015  7:58:25 AM","Use","CTA Bus","92 Foster","CTA/Pace 30-Day Pass","$0.00"
"01/10/2015  8:37:18 PM","Transfer","CTA Rail","Red-Berwyn","CTA/Pace 30-Day Pass","$0.00"
"01/10/2015  8:13:35 PM","Use","CTA Rail","Red-Lawrence","CTA/Pace 30-Day Pass","$0.00"
"01/09/2015  7:30:42 PM","Use","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"01/09/2015  5:11:38 PM","Use","CTA Bus","156 LaSalle","CTA/Pace 30-Day Pass","$0.00"
"01/09/2015  8:56:33 AM","Use","CTA Bus","28 Stony Island","CTA/Pace 30-Day Pass","$0.00"
"01/09/2015  8:22:01 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/08/2015  6:09:40 PM","Transfer","CTA Bus","82 Kimball-Homan","CTA/Pace 30-Day Pass","$0.00"
"01/08/2015  5:07:03 PM","Use","CTA Rail","Loop-Quincy/Wells","CTA/Pace 30-Day Pass","$0.00"
"01/08/2015  8:14:58 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/07/2015  7:28:55 PM","Use","CTA Rail","Red-Clark/Division","Transit Value","-$2.25"
"01/07/2015  7:28:51 PM","Use","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"01/07/2015  5:27:07 PM","Use","CTA Bus","156 LaSalle","CTA/Pace 30-Day Pass","$0.00"
"01/07/2015  8:05:25 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/06/2015  8:12:38 PM","Transfer","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"01/06/2015  6:39:02 PM","Use","CTA Rail","Red-SS Jackson-VanBuren","CTA/Pace 30-Day Pass","$0.00"
"01/06/2015  8:05:31 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/05/2015  5:11:33 PM","Use","CTA Rail","Loop-Quincy/Wells","CTA/Pace 30-Day Pass","$0.00"
"01/05/2015  7:27:09 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/04/2015  11:46:44 AM","Use","CTA Rail","Red-Argyle","Transit Value","-$2.25"
"01/04/2015  11:46:40 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/03/2015  4:55:51 PM","Use","CTA Rail","Red-Belmont","Transit Value","-$2.25"
"01/03/2015  4:55:47 PM","Use","CTA Rail","Red-Belmont","CTA/Pace 30-Day Pass","$0.00"
"01/03/2015  2:08:10 PM","Use","CTA Rail","Red-SS Jackson-VanBuren","CTA/Pace 30-Day Pass","$0.00"
"01/03/2015  11:35:44 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/02/2015  7:17:41 PM","Use","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"01/02/2015  5:08:28 PM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"01/02/2015  1:23:01 PM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"12/30/2014  3:52:11 PM","Use","CTA Rail","Orange_Midway","CTA/Pace 30-Day Pass","$0.00"
"12/26/2014  7:23:23 PM","Sale","CTA","CTA Back Office","CTA/Pace 30-Day Pass","$100.00"
"12/25/2014  12:26:33 PM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"12/24/2014  12:16:33 PM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"12/23/2014  8:20:59 PM","Use","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"12/23/2014  6:21:39 PM","Transfer","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"12/23/2014  5:54:52 PM","Transfer","CTA Rail","Red-Bryn Mawr","CTA/Pace 30-Day Pass","$0.00"
"12/23/2014  5:15:43 PM","Use","CTA Rail","Purple-Davis","CTA/Pace 30-Day Pass","$0.00"
"12/23/2014  8:32:21 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"12/22/2014  7:21:01 PM","Use","CTA Rail","Red-Clark/Division","CTA/Pace 30-Day Pass","$0.00"
"12/22/2014  5:16:14 PM","Transfer","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"12/22/2014  4:33:21 PM","Use","CTA Rail","Purple-Davis","CTA/Pace 30-Day Pass","$0.00"
"12/22/2014  8:43:47 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"12/20/2014  12:36:18 PM","Transfer","CTA Rail","Red-Belmont","CTA/Pace 30-Day Pass","$0.00"
"12/20/2014  12:05:32 PM","Use","CTA Bus","77 Belmont","CTA/Pace 30-Day Pass","$0.00"
"12/20/2014  9:45:14 AM","Transfer","CTA Bus","77 Belmont","CTA/Pace 30-Day Pass","$0.00"
"12/20/2014  9:30:41 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"12/19/2014  11:48:10 PM","Use","CTA Rail","Purple-Davis","CTA/Pace 30-Day Pass","$0.00"
"12/19/2014  9:07:48 AM","Use","CTA Rail","Red-Argyle","CTA/Pace 30-Day Pass","$0.00"
"12/18/2014  11:41:24 PM","Use","CTA Rail","Red-Fullerton","CTA/Pace 30-Day Pass","$0.00"
